infinitif,conjugated_like,participe_présent,participe_passé,forme_pronominale
juger,manger,jugeant,jugé,se juger 
annoncer,commencer,annonçant,annoncé,s'annoncer 
officier,copier,officiant,officié,–
briser,parler,brisant,brisé,se briser 
chasser,parler,chassant,chassé,–
attirer,parler,attirant,attiré,s'attirer 
allumer,parler,allumant,allumé,s'allumer 
écraser,parler,écrasant,écrasé,s'écraser 
arracher,parler,arrachant,arraché,s'arracher 
sourire,rire,souriant,souri,se sourire 
inventer,parler,inventant,inventé,s'inventer 
mêler,parler,mêlant,mêlé,se mêler 
énerver,parler,énervant,énervé,s'énerver 
exploser,parler,explosant,explosé,–
supplier,copier,suppliant,supplié,–
étonner,parler,étonnant,étonné,s'étonner 
déposer,parler,déposant,déposé,–
placer,commencer,plaçant,placé,se placer 
remplacer,commencer,remplaçant,remplacé,se remplacer 
accuser,parler,accusant,accusé,s'accuser 
nourrir,choisir,nourrissant,nourri,se nourrir 
presser,parler,pressant,pressé,se presser 
accorder,parler,accordant,accordé,s'accorder 
emmerder,parler,emmerdant,emmerdé,s'emmerder 
reculer,parler,reculant,reculé,se reculer 
élever,lever,élevant,élevé,s'élever 
accrocher,parler,accrochant,accroché,s'accrocher 
déjeuner,parler,déjeunant,déjeuné,–
coller,parler,collant,collé,se coller 
serrer,parler,serrant,serré,se serrer 
entraîner,parler,entraînant,entraîné,s'entraîner 
piquer,parler,piquant,piqué,se piquer 
admettre,mettre,admettant,admis,s'admettre 
produire,traduire,produisant,produit,se produire 
menacer,commencer,menaçant,menacé,se menacer 
gâcher,parler,gâchant,gâché,se gâcher 
concerner,parler,concernant,concerné,–
représenter,parler,représentant,représenté,se représenter 
bénir,choisir,bénissant,béni,–
endormir,dormir,endormant,endormi,s'endormir 
louer,parler,louant,loué,se louer 
soigner,parler,soignant,soigné,se soigner 
organiser,parler,organisant,organisé,s'organiser 
ranger,manger,rangeant,rangé,se ranger 
couler,parler,coulant,coulé,se couler 
rigoler,parler,rigolant,rigolé,se rigoler 
commettre,mettre,commettant,commis,se commettre 
trahir,choisir,trahissant,trahi,se trahir 
débrouiller,parler,débrouillant,débrouillé,se débrouiller 
fâcher,parler,fâchant,fâché,se fâcher 
attacher,parler,attachant,attaché,s'attacher 
joindre,joindre,joignant,joint,se joindre 
voyager,manger,voyageant,voyagé,–
nommer,parler,nommant,nommé,se nommer 
