infinitif,conjugated_like,participe_présent,participe_passé,forme_pronominale
seconder,parler,secondant,secondé,–
tapiner,parler,tapinant,tapiné,–
égaliser,parler,égalisant,égalisé,–
acclamer,parler,acclamant,acclamé,s'acclamer 
communier,copier,communiant,communié,se communier 
fracturer,parler,fracturant,fracturé,se fracturer 
mouvoir,mouvoir,mouvant,"mû, i class=""defect""mue, mus, muesi",se mouvoir 
prosterner,parler,prosternant,prosterné,se prosterner 
regorger,manger,regorgeant,regorgé,–
sectionner,parler,sectionnant,sectionné,se sectionner 
seoir,seoir,"séant, seyant",–,–
titrer,parler,titrant,titré,–
croupir,choisir,croupissant,croupi,–
engrosser,parler,engrossant,engrossé,–
fêler,parler,fêlant,fêlé,–
marmonner,parler,marmonnant,marmonné,–
allaiter,parler,allaitant,allaité,–
déboussoler,parler,déboussolant,déboussolé,–
dépérir,choisir,dépérissant,dépéri,–
enrayer,payer,enrayant,enrayé,s'enrayer 
rugir,choisir,rugissant,rugi,–
répertorier,copier,répertoriant,répertorié,–
engourdir,choisir,engourdissant,engourdi,s'engourdir 
recaler,parler,recalant,recalé,se recaler 
adjoindre,joindre,adjoignant,adjoint,s'adjoindre 
dépourvoir,pourvoir,dépourvoyant,dépourvu,se dépourvoir 
rétracter,parler,rétractant,rétracté,se rétracter 
téter,céder,tétant,tété,–
blottir,choisir,blottissant,blotti,se blottir 
incarcérer,céder,incarcérant,incarcéré,s'incarcérer 
amortir,choisir,amortissant,amorti,–
approfondir,choisir,approfondissant,approfondi,s'approfondir 
calomnier,copier,calomniant,calomnié,–
circoncire,confire,circoncisant,"i class=""defect""circoncisi",se circoncire 
dessoûler,parler,dessoûlant,dessoûlé,se dessoûler 
fredonner,parler,fredonnant,fredonné,–
interposer,parler,interposant,interposé,s'interposer 
opprimer,parler,opprimant,opprimé,–
patauger,manger,pataugeant,pataugé,–
détériorer,parler,détériorant,détérioré,se détériorer 
induire,traduire,induisant,induit,s'induire 
périmer,parler,périmant,périmé,se périmer 
cramponner,parler,cramponnant,cramponné,se cramponner 
enthousiasmer,parler,enthousiasmant,enthousiasmé,s'enthousiasmer 
oranger,manger,orangeant,orangé,–
profiler,parler,profilant,profilé,se profiler 
recompter,parler,recomptant,recompté,–
sommeiller,parler,sommeillant,sommeillé,–
stationner,parler,stationnant,stationné,se stationner 
conspirer,parler,conspirant,conspiré,–
forer,parler,forant,foré,–
ruminer,parler,ruminant,ruminé,–
rééduquer,parler,rééduquant,rééduqué,se rééduquer 
sursauter,parler,sursautant,sursauté,–
tamponner,parler,tamponnant,tamponné,se tamponner 
vacciner,parler,vaccinant,vacciné,se vacciner 
brouter,parler,broutant,brouté,–
chiffonner,parler,chiffonnant,chiffonné,–
dégourdir,choisir,dégourdissant,dégourdi,se dégourdir 
entêter,parler,entêtant,entêté,s'entêter 
réanimer,parler,réanimant,réanimé,se réanimer 
adjuger,manger,adjugeant,adjugé,s'adjuger 
palpiter,parler,palpitant,palpité,–
troquer,parler,troquant,troqué,–
amplifier,copier,amplifiant,amplifié,–
dérouter,parler,déroutant,dérouté,se dérouter 
mortifier,copier,mortifiant,mortifié,–
muer,parler,muant,mué,–
pioncer,commencer,pionçant,pioncé,–
scotcher,parler,scotchant,scotché,–
conformer,parler,conformant,conformé,se conformer 
daller,parler,dallant,dallé,–
exhumer,parler,exhumant,exhumé,–
trimbaler,parler,trimbalant,trimbalé,se trimbaler 
discréditer,parler,discréditant,discrédité,–
entonner,parler,entonnant,entonné,–
lister,parler,listant,listé,–
remorquer,parler,remorquant,remorqué,–
appâter,parler,appâtant,appâté,–
givrer,parler,givrant,givré,–
